2025-05-17 21:27:24,802 INFO    MainThread:28648 [wandb_init.py:setup_run_log_directory():724] Logging user logs to c:\Users\furaf\Desktop\haselab-all\PyTorch_practice\wandb\run-20250517_212724-27tol5tj\logs\debug.log
2025-05-17 21:27:24,803 INFO    MainThread:28648 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to c:\Users\furaf\Desktop\haselab-all\PyTorch_practice\wandb\run-20250517_212724-27tol5tj\logs\debug-internal.log
2025-05-17 21:27:24,803 INFO    MainThread:28648 [wandb_init.py:monkeypatch_ipython():643] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000029CBE070B80>
2025-05-17 21:27:24,803 INFO    MainThread:28648 [wandb_init.py:init():852] calling init triggers
2025-05-17 21:27:24,803 INFO    MainThread:28648 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-05-17 21:27:24,803 INFO    MainThread:28648 [wandb_init.py:init():893] starting backend
2025-05-17 21:27:24,803 INFO    MainThread:28648 [wandb_init.py:init():897] sending inform_init request
2025-05-17 21:27:24,805 INFO    MainThread:28648 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-05-17 21:27:24,805 INFO    MainThread:28648 [wandb_init.py:init():907] backend started and connected
2025-05-17 21:27:24,806 INFO    MainThread:28648 [wandb_run.py:_label_probe_notebook():1376] probe notebook
2025-05-17 21:27:24,806 INFO    MainThread:28648 [wandb_init.py:init():1005] updated telemetry
2025-05-17 21:27:24,851 INFO    MainThread:28648 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-17 21:27:25,388 INFO    MainThread:28648 [wandb_init.py:init():1104] starting run threads in backend
2025-05-17 21:27:25,511 INFO    MainThread:28648 [wandb_run.py:_console_start():2573] atexit reg
2025-05-17 21:27:25,511 INFO    MainThread:28648 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-17 21:27:25,511 INFO    MainThread:28648 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-17 21:27:25,512 INFO    MainThread:28648 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-17 21:27:25,513 INFO    MainThread:28648 [wandb_init.py:init():1150] run started, returning control to user process
2025-05-17 21:27:25,515 INFO    MainThread:28648 [wandb_init.py:_post_run_cell_hook():613] [no run ID] resuming backend
2025-05-17 21:27:32,853 INFO    MainThread:28648 [jupyter.py:save_ipynb():401] [no run ID] not saving jupyter notebook
2025-05-17 21:27:32,853 INFO    MainThread:28648 [wandb_init.py:_pre_run_cell_hook():602] [no run ID] pausing backend
2025-05-17 21:27:32,856 INFO    MainThread:28648 [wandb_run.py:_config_callback():1436] config_cb None None {'epochs': 5, 'learning_rate': 0.001, 'batch_size': 128}
2025-05-17 21:27:32,856 INFO    MainThread:28648 [wandb_init.py:_post_run_cell_hook():613] [no run ID] resuming backend
2025-05-17 21:27:50,116 INFO    MainThread:28648 [jupyter.py:save_ipynb():401] [no run ID] not saving jupyter notebook
2025-05-17 21:27:50,116 INFO    MainThread:28648 [wandb_init.py:_pre_run_cell_hook():602] [no run ID] pausing backend
2025-05-17 21:28:18,808 INFO    MainThread:28648 [wandb_run.py:_finish():2321] finishing run fukui-university/haselab-conpetition/27tol5tj
2025-05-17 21:28:18,808 INFO    MainThread:28648 [jupyter.py:save_history():477] not saving jupyter history
2025-05-17 21:28:18,808 INFO    MainThread:28648 [jupyter.py:save_ipynb():401] not saving jupyter notebook
2025-05-17 21:28:18,808 INFO    MainThread:28648 [wandb_init.py:_jupyter_teardown():628] cleaning up jupyter logic
2025-05-17 21:28:18,808 INFO    MainThread:28648 [wandb_run.py:_atexit_cleanup():2538] got exitcode: 0
2025-05-17 21:28:18,808 INFO    MainThread:28648 [wandb_run.py:_restore():2520] restore
2025-05-17 21:28:18,809 INFO    MainThread:28648 [wandb_run.py:_restore():2526] restore done
2025-05-17 21:28:20,030 INFO    MainThread:28648 [wandb_run.py:_footer_history_summary_info():4188] rendering history
2025-05-17 21:28:20,030 INFO    MainThread:28648 [wandb_run.py:_footer_history_summary_info():4220] rendering summary
2025-05-17 21:28:20,030 INFO    MainThread:28648 [wandb_run.py:_footer_sync_info():4149] logging synced files
